id,isSmoker,willpower,health,smokedPerDay,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,persuasiveness,sociable,maxInDegree,maxOutDegree,cigLimit
n224,false,0.46091701969991156,0.5212069788104902,11,false,0,1,0.2889714627774351,0.15264432559005509,0.5849121614082887,10,10,70
n225,true,0.31973905523181523,0.2048014117952856,11,false,0,0,0.22945813495872752,0.1082954989416377,0.9757748446350221,10,10,70
n227,false,0.33899615960902973,0.6115064265136576,12,false,0,1,0.6342897705608409,0.38159235409499015,0.627611914809818,10,10,70
n231,false,0.18233534206664084,0.5872845771589689,13,false,0,1,0.4809911364080948,0.5895428397133096,0.38190564961263385,10,10,70
n232,false,0.3119763794558593,0.5799597041456515,15,false,0,1,0.4457906829499292,0.32272962233303626,0.5073988640904806,10,10,70
n236,false,0.42114857124950844,0.42816087572149286,0,false,0,0,0.07589799306072605,0.46922236332110306,0.3602979664907451,10,10,70
n240,false,0.24482089649511032,0.7293021023509614,13,true,17,1,0.39420169459197885,0.15466778362544253,0.6030613056562107,10,10,70
n242,false,0.3543477739441675,0.6565845893471994,12,true,46,1,0.5270953069324416,7.670867629452349E-4,0.2523504264099077,10,10,70
n244,false,0.30721953355396675,0.657555016949414,11,false,0,1,0.6006294890842291,0.19821617181228746,0.6957862544178423,10,10,70
n246,false,0.2976937311218301,0.3152970032696042,12,false,0,1,0.3634829169940074,0.7617031653762565,0.5408514262115841,10,10,70
n247,false,0.013231653797248772,0.5563075969876934,14,false,0,1,1.0474480672760043,0.18402758576259082,0.6938812195351587,10,10,70
n250,false,0.18065417811400897,0.7397594112633308,0,false,0,0,0.1770203930931585,0.37879410632785426,0.3395673089837816,10,10,70
n254,false,0.3258124324308317,0.4199046707216806,13,false,0,1,0.6065716325702358,0.7117606308222733,0.3783375348860447,10,10,70
n255,true,0.1046852033377561,0.3716480932827304,50,false,0,0,0.7481638392463157,0.4881556378867741,0.7848850197915525,10,10,70
n256,true,0.043745337070408286,0.13914883827716829,10,false,0,0,0.727854367258614,0.7319272932230811,0.788088845537155,10,10,70
