id,isSmoker,willpower,health,smokedPerDay,stress,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,maxInDegree,maxOutDegree,cigLimit,giveUpStepLimit,$SWITCH_TABLE$simconsts$Operations
n118,true,0.8540012822866275,0.7050550540452728,11,0.9948410654642501,false,4,3,0.002714127197507521,0.12934149345940155,10,10,70,50,null
n120,true,0.9763042545881468,0.8149401709310216,12,0.30973195402369935,false,1,3,0.3428419093710873,0.6383388625000758,10,10,70,50,null
n122,true,0.9791065634088587,0.6690733334116362,12,0.39369669324452466,false,1,3,0.6394852795570642,0.6618506885662678,10,10,70,50,null
n125,true,0.39763393178179346,0.6233187172702852,7,0.6205144344800085,false,7,7,0.527652825731894,0.24447424310728028,10,10,70,50,null
n129,true,0.31978738837506554,0.7088302156264913,12,0.5000623947228241,false,1,3,0.2573030971362763,0.06911299872907217,10,10,70,50,null
n131,true,0.9692729683042031,0.6360649882259084,11,0.34702336314613347,false,2,5,0.3959717986152004,0.009896646984806745,10,10,70,50,null
n134,true,0.42379618512275424,0.8694574508040813,11,0.5873526197409266,false,3,6,0.14837388601111134,0.6286870923952358,10,10,70,50,null
n135,true,0.00724135395704292,0.6354313387780486,11,0.5095713481703875,false,50,1,0.6605477906063482,0.7582724331674192,10,10,70,50,null
n138,true,0.31633549425581037,0.657063027847615,12,0.39779660548532325,false,1,2,0.7768248315761197,0.6160549617042979,10,10,70,50,null
n139,true,0.9756350828561507,0.5521245079653533,10,0.5142793127315523,false,1,3,0.7189897294342338,0.5962447057746446,10,10,70,50,null
n141,true,0.44550472761008314,0.7421183240762823,14,0.20233276526915206,false,1,2,0.5440783358159874,0.7093396388916315,10,10,70,50,null
n144,true,0.45637802365524116,0.5904071586363846,11,0.06142981817322252,false,4,3,0.6683410705100667,0.7468784464520846,10,10,70,50,null
n146,true,0.9574476091232332,0.8896069739076309,12,0.9415836896500306,false,53,7,0.9306042699433916,0.4184445561059471,10,10,70,50,null
n148,true,0.9871001603283843,0.8405407195585849,12,0.3208761326787164,false,0,1,0.2161807584947995,0.08567778673831494,10,10,70,50,null
n164,true,0.9786946306827845,0.8205234895267728,15,0.8654246345894957,false,51,3,0.7965118494988008,0.4409534459815157,10,10,70,50,null
n168,true,0.5497277923882119,0.9480729286126438,13,0.546218295620378,false,5,3,0.3056823329711006,0.686921674889742,10,10,70,50,null
n171,true,0.9874544449860555,0.7577546489495807,12,0.5318925488535532,false,50,3,0.3126680590601071,0.6523078431964136,10,10,70,50,null
n175,true,0.7173241844177767,0.4407521096984998,10,0.47995789857373744,false,0,0,0.4010097257006467,0.6362552271677444,10,10,70,50,null
n179,true,0.9788790214404134,0.889649970571572,9,0.5530003366406878,false,1,3,0.47414300543805094,0.6636050997267892,10,10,70,50,null
n181,true,0.6273831248465543,0.9056253547474467,11,0.679762865828419,false,1,2,0.364245560437753,0.7433123004368406,10,10,70,50,null
n183,true,0.6260385418105862,0.8192502203927432,11,0.5233455231465658,false,2,4,0.4015319723722893,0.6360276605441353,10,10,70,50,null
