id,isSmoker,willpower,health,smokedPerDay,givingUp,stepsSinceGiveUp,influenceability,sociable,maxDegree,cigLimit
n103,true,0.5090792576282446,0.4594259176986832,12,false,0,0.7605828499741585,0.16676835881110408,10,70
n120,true,0.059534592176340724,0.6981486342816986,20,true,4,0.8970427584271468,0.8331487746178738,10,70
n121,false,0.9993979005825607,0.44459219064266225,0,true,9,0.3470443537527839,0.5504745143199542,10,70
n122,false,0.20496249300303776,0.30827678444789197,0,false,0,0.18210236124050255,0.5302283407068249,10,70
n123,false,0.12400186503385033,0.6574135218747788,12,true,9,0.5521553351602746,0.7816679643236184,10,70
n125,true,0.9773622101635834,0.5213284859822273,22,true,9,0.3486630383869018,0.7752901087613948,10,70
n128,false,0.35749557508219576,0.5442873200328732,0,true,9,0.18691266252497038,0.7001853912633498,10,70
n129,false,0.36384316768576,0.734734520908271,0,false,0,0.12129916032691157,0.891119495440162,10,70
n134,false,0.3876281106652278,0.5327877422415878,0,false,0,0.2956390296446513,0.9663900161591377,10,70
n135,true,0.47004223710736415,0.8711209164705367,13,false,0,0.38749148273519274,0.7336284199863796,10,70
n137,false,0.8071526778177961,0.7161195906376301,0,false,0,0.405855798567966,0.6209535006471012,10,70
n138,false,0.5084941169982248,0.48642391318692385,0,false,0,0.14174039987608475,0.7965783972665723,10,70
n139,false,0.011513278617570386,0.592102991401144,13,true,7,0.9658622451228422,0.7173101377848949,10,70
n140,false,0.9278342306291765,0.6004372604906831,0,true,9,0.7550840575197147,0.26367592608856033,10,70
n141,true,0.7884122761863135,0.2722422717692561,12,false,0,0.5598790902130788,0.6131350627755364,10,70
n143,true,0.7031926250055893,0.748656220669559,21,true,9,0.19468042118216947,0.4035613913999899,10,70
n148,false,0.46671358763556614,0.681289376987143,0,true,9,0.7953152464771248,0.97092403019699,10,70
n150,false,0.21145793712502264,0.768500222758343,11,true,6,0.34620624513746767,0.6861580981182562,10,70
n156,true,0.6590578906685056,0.9800717631602176,13,false,0,0.5370031993451432,0.40940120095859267,10,70
n165,false,0.1418745690025236,0.7472711852814731,0,false,0,0.5804860021263802,0.3990242448775888,10,70
n166,true,0.5077426945921252,0.8762895537305361,21,true,9,0.9185955072025811,0.998552569213445,10,70
n170,true,0.6827211611356392,0.7679960133747724,53,true,9,0.8287886837632895,0.5813146763544854,10,70
n171,false,0.771080374800494,0.745231397395507,0,false,0,0.0026770257847552564,0.2527006719135475,10,70
n173,false,0.12490124003654451,0.32364917233040646,0,true,9,0.12518923073371752,0.4669728428070018,10,70
n180,true,0.9307265635362603,0.5619227814514722,21,true,9,0.5250029210297442,0.4314677271042412,10,70
n182,true,0.46559992906069647,0.9145670593121912,25,false,0,0.7293742244555871,0.6909900784032246,10,70
n183,false,0.06943775548615225,0.7971163588999564,11,true,4,0.5503021996204531,0.5055975507598752,10,70
n189,false,0.06888615029606084,0.9008387260511201,13,true,3,0.8179370227125247,0.4823918306505308,10,70
n192,true,0.48060142213109586,0.9902641287329148,12,false,0,0.8285717389979954,0.4573054251010854,10,70
n197,false,0.5573572112736855,0.5021066196139536,0,false,0,0.37809409100363117,0.7012091050270466,10,70
n199,false,0.08740783183945477,0.6818892127229536,12,true,3,0.7757456014800058,0.05581882812026029,10,70
n206,false,0.35740652664144457,0.6109914137192811,12,true,6,0.20964492112007982,0.5552288311105924,10,70
n208,false,0.2969246339252798,0.7678900454251865,0,true,9,0.5909312850393267,0.4228206103968133,10,70
n211,false,0.8596362110146956,0.5481842302858452,0,true,9,0.6394261133529985,0.6896354287948655,10,70
n213,true,0.8128893305591951,0.7723968423062422,18,false,0,0.26822904711387974,0.2721408774693307,10,70
n217,true,0.14796141371048405,0.7857253827278418,12,false,0,0.12127928521809883,0.9420336269984737,10,70
n220,false,0.0049157396882515145,0.4425916427373538,12,true,6,0.9912867666903575,0.9685605075201258,10,70
n223,true,0.19241160327697168,0.7358437608441415,31,true,8,0.5580102077646623,0.6301075607245875,10,70
