id,isSmoker,willpower,health,smokedPerDay,givingUp,stepsSinceGiveUp,influenceability,persuasiveness,sociable,maxDegree,cigLimit
n283,true,0.17149299155390169,0.6069530411326023,23,true,23,0.7614296299276072,0.43444157707592207,0.5293690077465077,10,70
n284,false,0.18649873786524343,0.26822720152823154,12,true,13,0.6884963814812,0.04727219081972156,0.2770017723372614,10,70
n286,true,0.10137683855633575,0.3057264210027599,13,true,48,0.8097747952115174,0.2932219104667533,0.986870342949269,10,70
n290,false,0.4054591430665013,0.5455850351723461,11,true,1,0.42077265276214093,0.6176556643084733,0.9227314722349209,10,70
n295,false,0.6544119413225212,0.5161135965283079,13,true,31,0.08637478637235681,0.6703445196041218,0.4463698471963915,10,70
n300,true,0.34353854518713284,0.30614032271460745,11,false,0,0.8548492898121831,0.13079064134254376,0.21837380954053065,10,70
n305,false,0.32707534822827483,0.4443073913384396,20,true,4,0.4677511993890279,0.15255585210964956,0.8567485860466808,10,70
n311,false,0.7318021463683313,0.7813949378008944,12,true,46,0.025380045175338505,0.7683491699542577,0.3949515930624089,10,70
n312,false,0.3671455927503363,0.9960503915074898,13,true,41,0.27654706961668907,0.8556478168540483,0.8989268981010833,10,70
n315,true,0.10002034572848234,0.2826600913444849,19,true,50,0.4498614835990831,0.6171168259596143,0.609467940818035,10,70
n318,true,0.17225889649385492,0.6392288379073906,56,true,6,0.6881756090132681,0.7965362019616076,0.28229012525310415,10,70
n323,false,0.18425273735292416,0.4042791297614903,23,true,12,0.6814657282520106,0.43371397846444426,0.8830791861382287,10,70
n324,false,0.17379604592645437,0.45193111370248484,14,true,10,0.6995658224468897,0.9242922484781039,0.8802473073354853,10,70
n326,true,0.35029810241997805,0.7640291648269876,17,true,42,0.4404315394158658,0.17399213171940542,0.5291847374038142,10,70
n329,false,0.2111969150947361,0.9996822738850487,0,true,50,0.23996478228529566,0.6731180917630408,0.5564572981101494,10,70
n330,true,0.0016390972230896938,0.6072083070994748,19,true,26,1.002668094380769,0.6742591941002066,0.7647739669527969,10,70
n340,false,0.04950408590516142,0.7426342735491209,0,false,0,0.0402865867670354,0.4393373240446111,0.7909478004224689,10,70
n346,true,0.0750632335678726,0.3141441588918339,14,true,39,0.921351157834268,0.5839754234151242,0.6074448478973632,10,70
n353,true,0.29310748209183995,0.5046423754068616,21,true,23,0.6329820317378149,0.5708216833876888,0.8990517675139269,10,70
